question,ground_truths,answer,contexts
Can companies providing historical data have hired for different positions?,"The notice must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available.","Yes, there is no requirement that the companies providing historical data used the AEDT for the same type of position.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
How can notice be given under local law 144?,"No, the law mandates notification to individuals at least 10 business days before the use of an AEDT.","Under Local Law 144, notice must be given for the use of an automated employment decision tool at least 10 business days before the use of the tool. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT t via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Any notices on the employment section of an employment agency's or employer's website must be clear and conspicious.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following: (1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT; (2) Provide notice in a job posting at least 10 business days before use of an AEDT; or, (3) Provide notice to candidates for employment via U.S. mail or e-mail at least..."
"How is the ""Impact Ratio"" calculated for an AEDT scoring candidates for employment or employees being considered for promotion?","While the law does not require an alternative selection process, employers can provide one if they choose to.","For continuous or regression systems, it is the scoring rate for a category divided by the scoring rate for the highest-scoring category. For classification or binary systems, it is the selection rate for a category divided by the selectino rate for the category with the highest selection rate.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process."
What tools are covered under local law 144?,The corporation counsel or other persons designated by the law department are authorized to initiate actions or proceedings for the collection of civil penalties.,"Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons.This does not include a tool that does not automate, support, substantially assist or replace discretionary decision-making processes and that does not materially impact natural persons, including, but not limited to, a junk email filter, firewall, antivirus software, calculator, spreadsheet, database, data set, or other compilation of data.",The corporation counsel or other persons designated by the law department can initiate actions or proceedings for the collection of civil penalties.
"If notice is provided on the website, when can they start using an AEDT?","An AEDT uses machine learning, statistical modeling, data analytics, or artificial intelligence to generate predictions or classifications, unlike traditional decision-making tools.",Employers and agencies can start using an AEDT 10 business days after posting notice on their website.,"Machine learning, statistical modeling, data analytics, or artificial intelligence. “Machine learning, statistical modeling, data analytics, or artificial intelligence” means a group of mathematical, computer-based techniques: i. that generate a prediction, meaning an expected outcome for an observation, such as an assessment of a candidate’s fit or likelihood of success, or that generate a classification, meaning an assignment of an observation to a group."
How does the law address the notification of employees or candidates about the use of an automated employment decision tool?,"Violations of the law are subject to civil penalties ranging from $500 for the first violation to $1,500 for each subsequent violation.","Employers or agencies must provide notices at least ten business days before the tool's use, allowing candidates to request alternative processes or accommodations.","Civil penalties range from not more than $500 for the first violation to not more than $1,500 for each subsequent violation."
How long must an employer or employment agency keep the summary of results and distribution date posted after the latest use of an AEDT?,"""Simplified output"" refers to a prediction or classification that is easy to understand and interpret, intended to facilitate decision-making.",The summary of results and distribution date must be kept posted for at least 6 months after the latest use of the AEDT for an employment decision.,Simplified Output. “Simplified output” means a prediction or classification that is presented in a format that is easy to understand and interpret by the end-user.
When does this local law take effect?,"The law allows flexibility for test data, but the summary of results must explain why historical data was not used and describe how the test data was generated and obtained.","This local law takes effect on January 1, 2023. Enforcement was meant to begin on 1 January 2023 but was postponed to 16 April 2023 by the DCWP before being postponed for a final time to 5 July 2023.","(b) Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
Can employers use an AEDT without a bias audit if their candidates are not NYC residents?,The law requires employers to provide an explanation if disclosing AEDT data would interfere with a law enforcement investigation.,"The law applies to AEDT use ""in the city,"" which includes having an office in NYC, a fully remote job associated with an NYC office, or an employment agency located in NYC. If the law applies, a bias audit must be completed, and NYC resident candidates must be notified.","(3) Provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation."
What is the significance of the distribution date in the publicly available summary?,"An employment decision includes screening candidates, hiring, promoting, and other selection processes related to employment.","The distribution date indicates when the tool, subject to the bias audit, was made available for use.",Employment Decision. “Employment decision” means “Employment decision” as defined by § 20-870 of the Code.
Can an individual bring a civil action under this law?,"An employment decision in the context of AEDT involves the use of automated tools to screen candidates, make hiring decisions, promotions, and other related employment processes.","Yes, the provisions of this law do not limit the right of any candidate or employee for an employment decision to bring a civil action in any court of competent jurisdiction.",Employment Decision. “Employment decision” means “Employment decision” as defined by § 20-870 of the Code.
"What are the LawÕs requirements for an AEDT used ""in the city""?",There are two metrics for calculating impact ratios in a bias audit: selection rate and scoring rate.,"A bias audit must be completed before use, and New York City residents must receive notice.",Impact Ratio. “Impact ratio” means either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category.
Can a employer use historical data from other employers?,The notice must be given no less than ten business days before the use of the AEDT.,An employer or employment agency may rely on a bias audit using aggregated historical data from other entities if they either have not yet used the tool themselves or if they have also contributed to the aggregated data,"(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT; (2) Provide notice in a job posting at least 10 business days before use of an AEDT; or, (3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
"When can calculations exclude a sex, race/ethnicity, or intersectional category?","The notice must include information about the type of data collected, the data retention policy, and how the data will be used.","If a category represents less than 2% of the data used, it can be excluded, but all other categories must be included in the calculations.","(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must: (1) Provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; (2) Post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information."
Can an employer or employment agency use an automated employment decision tool without conducting a bias audit?,"No, an employer or employment agency cannot use an automated employment decision tool without conducting a bias audit within one year of the tool's use, making the audit information publicly available, and providing required notices to employees or job candidates.","No, it is unlawful to use such a tool without a bias audit conducted within the last year if using it to evalaute employees for promotion or candidates for employment within new york city.","Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
When is an employer or employment agency allowed to rely on test data for a bias audit?,An employer or employment agency is allowed to rely on test data for a bias audit if insufficient historical data is available to conduct a statistically significant bias audit. The summary of results must explain why historical data was not used and describe how the test data was generated and obtained.,An employer or employment agency may rely on test data if insufficient historical data is available for a statistically significant bias audit. The summary of results must explain why historical data was not used and describe how the test data was generated and obtained.,"(b) Test Data. Notwithstanding the requirements of subdivision (a) of this section, an employer or employment agency may rely on a bias audit that uses test data if insufficient historical data is available to conduct a statistically significant bias audit. If a bias audit uses test data, the summary of results of the bias audit must explain why historical data was not used and describe how the test data used was generated and obtained."
What information must be provided on the employer or employment agency's website regarding the AEDT's data retention policy?,"The employer or employment agency's website must provide clear and conspicuous information about the AEDT's data retention policy, the type of data collected, and the source of the data. Instructions for making a written request for such information must also be posted, and if a request is received, the information must be provided within 30 days. An explanation must be provided if disclosure would violate laws or interfere with an investigation.","Information must include the AEDT's data retention policy, the type of data collected, and the data source, in a clear and conspicuous manner.","(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must:

(1) Provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data;

(2) Post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and

(3) Provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation."
Does local law 144 have transparency requirements?,"Yes, Local Law 144 has transparency requirements. Employers and employment agencies must make the date of the most recent bias audit, a summary of the results, and the distribution date of the AEDT publicly available on their website.",Local Law 144 imposes transpraency requirements in the form of a summary of the results of the bias audit that must published on the employer or employment agency's website and notification to employees or canidates for the use of an automated employment decision tool at least 10 business days before the tool is used.,"Before the use of an AEDT, an employer or employment agency in the city must make the following publicly available on the employment section of their website in a clear and conspicuous manner:

(1) The date of the most recent bias audit of the AEDT and a summary of the results, which shall include the source and explanation of the data used to conduct the bias audit, the number of individuals the AEDT assessed that fall within an unknown category, and the number of applicants or candidates, the selection or scoring rates, as applicable, and the impact ratios for all categories; and,

(2) The distribution date of the AEDT."
What is excluded from the definition of an automated employment decision tool?,"The definition of an automated employment decision tool excludes outputs from analytical tools that translate or transcribe existing text, such as converting a resume from a PDF or transcribing a video or audio interview.","Tools that do not automate, support, substantially assist, or replace discretionary decision-making processes and do not materially impact individuals, such as a junk email filter, firewall, antivirus software, calculator, spreadsheet, database, data set, or other data compilations.","Simplified output. “Simplified output” means a prediction or classification as specified in the definition for “machine learning, statistical modelling, data analytics, or artificial intelligence.” A simplified output may take the form of a score (e.g., rating a candidate’s estimated technical skills), tag or categorization (e.g., categorizing a candidate’s resume based on key words, assigning a skill or trait to a candidate), recommendation (e.g., whether a candidate should be given an interview), or..."
Can an employer or agency use an automated employment decision tool without notifying candidates or employees?,"No, an employer or agency cannot use an automated employment decision tool without notifying candidates or employees. They must provide notice at least 10 business days before use.","No, the law requires notification to individuals residing in the city about the use of the tool and related information at least 10 business days prior to use.","(a) The notice required by § 20-871(b)(1) of the Code must include instructions for how an individual can request an alternative selection process or a reasonable accommodation under other laws, if available. Nothing in this subchapter requires an employer or employment agency to provide an alternative selection process.

(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT."
How can an employer or employment agency comply with the notice requirements for candidates for employment and employees being considered for promotion?,"An employer or employment agency can comply with the notice requirements by providing notice on the employment section of their website, in a job posting, or via U.S. mail or e-mail at least 10 business days before use of an AEDT. For employees being considered for promotion, notice can also be provided in a written policy or procedure.","Compliance can be achieved by providing notice on the employment section of the website, in job postings, or via U.S. mail or email at least 10 business days before the use of an AEDT. For employees, notice can also be given in a written policy that is given to employees.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT.

(c) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to an employee being considered for promotion who resides in the city by doing any of the following:

(1) Provide notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice via U.S. mail or e-mail at least 10 business days before use of an AEDT."
What are the requirements of local law 144?,"Local Law 144 of 2021 requires that an AEDT must undergo a bias audit within one year of its use, the audit information must be publicly available, and specific notices must be provided to employees or job candidates.","Local Law 144 requires independent, impartial annual bias audits of automated employment decision tools used to evaluate candidates for employees for promotion or candidates for employment that reside in New York City. It also requires a summary of the results of the bias audit to be published on the employer or employment agency's website and notification to employees or canidates for the use of an automated employment decision tool at least 10 business days before the tool is used.","Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
What are the criteria for excluding a category from bias audit calculations?,"A category can be excluded from bias audit calculations if it represents less than 2% of the data used for the bias audit. The summary of results must include the independent auditor’s justification for the exclusion, as well as the number of applicants and scoring rate or selection rate for the excluded category.","If a category represents less than 2% of the data used for the bias audit, an independent auditor may exclude it, but the summary must include justification and information on the number of applicants and rates for the excluded category.","(d) Notwithstanding the requirements of paragraphs (2) and (3) of subdivision (b) and paragraphs (3) and (4) of subdivision (c), an independent auditor may exclude a category that represents less than 2% of the data being used for the bias audit from the required calculations for impact ratio. Where such a category is excluded, the summary of results must include the independent auditor’s justification for the exclusion, as well as the number of applicants and scoring rate or selection rate for the ex..."
What is the timeframe for providing information about data collection upon a written request?,The timeframe for providing information about data collection upon a written request is within 30 days.,The information should be provided within 30 days of the written request by a candidate or employee.,"(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must:

(2) Post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days;"
What are the components of an AEDT as defined in the law?,"The components of an AEDT as defined in the law include relying solely on a simplified output, using a simplified output as a primary criterion, or using a simplified output to overrule conclusions derived from other factors including human decision-making.","An AEDT uses machine learning, statistical modeling, data analytics, or artificial intelligence, assist in employment decisions, and substantially assist or replace discretionary decision-making.","Automated Employment Decision Tool. “Automated employment decision tool” or “AEDT” means “Automated employment decision tool” as defined by § 20-870 of the Code where the phrase “to substantially assist or replace discretionary decision making” means:

i. to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or

ii. to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or

iii. to use a simplified output to overrule conclusions derived from other factors including human decision-making."
What is an impact ratio under local law 144?,"An impact ratio under Local Law 144 is the selection rate for a category divided by the selection rate of the most selected category, or the scoring rate for a category divided by the scoring rate for the highest scoring category.","Under Local Law 144, an impact ratio is either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category. It is the output of the metric that must be used to conduct the bias audit",Impact Ratio. “Impact ratio” means either (1) the selection rate for a category divided by the selection rate of the most selected category or (2) the scoring rate for a category divided by the scoring rate for the highest scoring category.
"When did Local Law 144 of 2021 take effect, and when does enforcement begin?","Local Law 144 of 2021 took effect following its proposal on September 23, 2022, and public hearings held on November 4, 2022, and January 23, 2023.","It took effect on January 1, 2023, and enforcement begins on July 5, 2023.","The law was proposed on September 23, 2022, and a public hearing was held on November 4, 2022. The second version was proposed on December 23, 2022, and another public hearing was held on January 23, 2023."
What information must be provided on the employer or employment agency's website regarding the AEDT's data retention policy?,"The employer or employment agency's website must provide clear and conspicuous information about the AEDT's data retention policy, the type of data collected, and the source of the data. Instructions for making a written request for such information must also be posted, and if a request is received, the information must be provided within 30 days. An explanation must be provided if disclosure would violate laws or interfere with an investigation.","Information must include the AEDT's data retention policy, the type of data collected, and the source of the data, in a clear and conspicuous manner.","(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must:

(1) Provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data;

(2) Post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and

(3) Provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation."
Who is within the scope of local law 144?,Local Law 144 of 2021 applies to employers and employment agencies in the city who use automated employment decision tools for hiring or promotion decisions.,"Local Law 144 targets employers and employment agencies hiring candidates or promoting employees using an automated employment decision tool if they reside in New York City. To use an automated employment decision tool in the city means that the job location is in an office in New York City, at least part time, the job is fully remote but asspcoated with an office in New York City, or the employment agency or employer is located in New York City.",Local Law 144 of 2021 applies to employers and employment agencies in the city who use automated employment decision tools for hiring or promotion decisions.
Can an employer or agency use an automated employment decision tool without providing information about the type of data collected?,"No, an employer or agency cannot use an automated employment decision tool without providing information about the type of data collected. This information must be provided on the employment section of the website.","No, if not disclosed on the employer or agency's website, information about the type of data collected must be available upon written request by a candidate or employee.","(d) To comply with § 20-871(b)(3) of the Code, an employer or employment agency must:

(1) Provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data;"
What role does the corporation counsel play in enforcing this law?,The corporation counsel or designated persons from the law department may enforce the provisions of this law and take necessary legal actions to ensure compliance.,"The corporation counsel or designated persons may initiate actions or proceedings in court for the correction of violations, including mandating compliance with the law.",The corporation counsel or designated persons from the law department may enforce the provisions of this law and take necessary legal actions to ensure compliance.
What law prohibits employers and employment agencies from using an AEDT in NYC?,"Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool in NYC unless the tool has been subject to a bias audit within one year of the use of the tool, the bias audit information is publicly available, and required notices have been provided to employees or job candidates.",Local Law 144 of 2021.,"Local Law 144 of 2021 prohibits employers and employment agencies from using an automated employment decision tool unless the tool has been subject to a bias audit within one year of the use of the tool, information about the bias audit is publicly available, and certain notices have been provided to employees or job candidates."
"What does the term ""Screen"" mean in the context of an AEDT?","The term 'Screen' in the context of an AEDT means to make a determination about whether someone should be selected or advanced in a hiring process for a position, or determining if someone should be classified into a pool of candidates to be considered for a position.","""Screen"" means to make a determination about whether a candidate for employment or an employee being considered for promotion should be selected or advanced in the hiring or promotion process.","Screen. “Screen” means to make a determination about whether someone should be selected or advanced in a hiring process for a position, or determining if someone should be classified into a pool of candidates to be considered for a position."
"How is an ""Employment Decision"" defined under local law 144?",An 'Employment Decision' under local law 144 is defined as screening candidates for employment or employees for promotion within the city using an AEDT.,"""Employment decision"" means the screening of candidates for employment or employees for promotion within the city.",Employment Decision. “Employment decision” means to screen candidates for employment or employees for promotion within the city using an AEDT.
How can an employer or employment agency comply with the notice requirements for candidates for employment and employees being considered for promotion?,"An employer or employment agency can comply with the notice requirements by providing notice on the employment section of their website, in a job posting, or via U.S. mail or e-mail at least 10 business days before use of an AEDT. For employees being considered for promotion, notice can also be provided in a written policy or procedure.","Compliance can be achieved by providing notice on the employment section of the website, in job postings, or via U.S. mail or email at least 10 business days before the use of an AEDT.","(b) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to a candidate for employment who resides in the city by doing any of the following:

(1) Provide notice on the employment section of its website in a clear and conspicuous manner at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice to candidates for employment via U.S. mail or e-mail at least 10 business days before use of an AEDT.

(c) To comply with § 20-871(b)(1) and (2) of the Code, an employer or employment agency may provide notice to an employee being considered for promotion who resides in the city by doing any of the following:

(1) Provide notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT;

(2) Provide notice in a job posting at least 10 business days before use of an AEDT; or,

(3) Provide notice via U.S. mail or e-mail at least 10 business days before use of an AEDT."
Do local law 144 bias audits have to be external?,"Yes, local law 144 bias audits must be conducted by an independent auditor who is capable of exercising objective and impartial judgment and has no involvement or financial interest in the AEDT or related entities.","Local Law 144 requires impartial, independent bias audits by an independent auditor.  An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT. Therefore, bias audits cannot be conducted internally and must instead be carried out by an external third-party.","Independent Auditor. “Independent auditor” means a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if the auditor:

i. is or was involved in using, developing, or distributing the AEDT;

ii. at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or

iii. at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT."
What is a scoring rate under local law 144?,A scoring rate under Local Law 144 is the rate at which individuals in a category receive a specific score or classification by an AEDT.,"Under local law 144, a scoring rate ithe rate at which individuals in a category receive a score above the sampleÕs median score, where the score has been calculated by an AEDT.",Scoring Rate. “Scoring rate” means the rate at which individuals in a category receive a specific score or classification by an AEDT.
What are the requirements for historical data in a bias audit?,The requirements for historical data in a bias audit include using data from one or more employers or employment agencies that use the AEDT. An employer or employment agency can rely on the historical data of others only if they have contributed their own data or have never used the AEDT before.,"A bias audit must use historical data of the AEDT, and an employer or employment agency may rely on a bias audit using historical data from other entities under specific circumstances.","Historical Data. A bias audit conducted pursuant to section 5-301 of this Chapter must use historical data of the AEDT. The historical data used to conduct a bias audit may be from one or more employers or employment agencies that use the AEDT. However, an individual employer or employment agency may rely on a bias audit of an AEDT that uses the historical data of other employers or employment agencies only in the following circumstances: if such employer or employment agency provided historical data fro..."
