question,answer,contexts,ground_truths
What is the responsibility of an employer or agency regarding the distribution date in a publicly available bias audit summary?,,,The employer or agency must make publicly available the distribution date of the tool to which the most recent bias audit applies before the tool's use.
"How is the ""Impact Ratio"" calculated for a category in the context of scoring by an AEDT?",,,"For refression systems, it is the scoring rate for a category divided by the scoring rate for the highest scoring category. For classification systems, it is the selection rate for a category divided by the selection rate for the category with the highest rate."
What is the definition of an Automated Employment Decision Tool (AEDT)?,,,"An AEDT is a tool that substantially assists or replaces discretionary decision-making and relies solely on a simplified output, uses it as a weighted criterion, or uses it to overrule conclusions derived from other factors."
How can someone make a complaint about Law violations?,,,"Complaints can be submitted by contacting 311 or visiting the DCWP website, including details about the job posting, AEDT name, notice provided, and an explanation of the suspected violation."
Is there a threshold for determining whether an automated employment decision tools are biased under local law 144?,,,"Local Law 144 does not provide thresholds for determining whether bias is occuring during a bias audit. It only provides the metrics that must be used to calculate impact ratios. However, the metric for calculating impact ratios is similar to the four-fifths rule, particularly in the case of the classification metric. The four-fifths rule says that the hiring rate of one group must not be less than four-ffiths of the hiring rate of the group with the highest rate. Therefore, auditors can optionally extrapolate from the four-fifths rule and use the .80 threshold to identify exceptions, but this is not required."
Does local law 144 have notification requirements?,,,"Under Local Law 144, any employer or employment agency that uses an automated employment decision tool to screen an employee or a candidate who has applied for a position for an employment decision shall notify each such employee or candidate who resides in the city that an automated employment decision tool will be used to evaluate them. This  notice shall must made at least ten business days before the use of an automated employment decision tools and allow a candidate to request an alternative selection process or accommodation. The notice must also include the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious."
Can employers use an AEDT without a bias audit if they do not have NYC residents as candidates?,,,"The law applies if the AEDT is used ""in the city,"" which includes having an office in NYC, a fully remote job associated with an NYC office, or an employment agency located in NYC."
Where should information about data collection and retention policies be available?,,,"If not disclosed on the employer or employment agencyÕs website, such information should be available upon written request by a candidate or employee."
What is a candidate for employment under Local Law 144?,,,"Candidate for employment means a person who has applied for a specific employment position by submitting the necessary information or items in the format required by the employer or employment agency.  If an AEDT is used to assess someone who is not an employee being considered for promotion and who has not applied for a specific position for employment, the bias audit and notice requirements do not apply. Therefore, automated employment decision tools to scan a resume bank, conduct outreach to potential candidates, or invite applications are not used to evaluate candidates for employment."
What entities can conduct a bias audit for an automated employment decision tool?,,,A bias audit must be conducted by an independent auditor.
What is the definition of an automated employment decision tool?,,,"An automated employment decision tool is any computational process derived from machine learning, statistical modeling, data analytics, or artificial intelligence that issues simplified output used to assist or replace discretionary decision-making for employment decisions affecting individuals."
Who can conduct an aedt bias audit?,,,"Local Law 144 requires impartial, independent bias audits by an independent auditor.  An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT. Therefore, bias audits cannot be self-conducted"
Can a violation of the notice requirements lead to a separate penalty?,,,"Yes, failure to provide any notice to a candidate or an employee in violation of specific notice requirements constitutes a separate violation."
Who enforces the NYC Human Rights Law related to discrimination claims involving AEDT use?,,,Discrimination claims involving AEDT use under the NYC Human Rights Law should be directed to the NYC Commission on Human Rights.
What options does a candidate have upon receiving notice about the use of an automated employment decision tool?,,,A candidate can request an alternative selection process or accommodation upon receiving notice about the use of the tool.
What options does a candidate have upon receiving notice about the use of an AEDT in the hiring or promotion process?,,,"A candidate can request an alternative selection process or a reasonable accommodation under other laws, if available, as instructed in the notice."
"Is an ""employment decision"" limited to the final hiring or promotion decision?",,,"No, it includes screening at any point in the hiring or promotion process where an AEDT is substantially used."
What are the metrics required for conduting bias audits under local law 144?,,,"Under Local Law 144, an independent auditor must calculate impact ratios for subgroups at both the standalone level (i.e., based on sex categories and race/ethnicity categories) and at the intersectional level at the intersection of race/ethnicity and sex e.g., Hispanic or Latino males. There is one metric for calculating impact ratios for regression or continuous systems and one for classification systems. For classification systems, the impact ratio must be calculated by dividing the selection rate for a category by the selection rate of the category with the highest rate. For regression systems, the scoring rate must first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. Similar to with classification systems, the scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate."
Can an employer continue using an AEDT if more than a year has passed since the last bias audit?,,,"No, the law requires a bias audit at least once a year, and employers can only rely on a bias audit conducted within the past year."
What are the summary of results requirements for local law 144?,,,"Employers and employment agencies using automated employment decision tools to evaluate a candidate for employment or employee for promotion must publish a summary of the results of the independent bias audit. This summary must include the date of the most recent bias audit, the source and explanation of the data used to conduct the bias audit, the number of individuals that were in an unknown category, the number of applicants in each category, the selection and scoring rate of each category, and the impact ratios for all categories. If the bias audit used test data, the summary of results must explain why historical data was not used and and how the test data was generated and obtained. If a category that represented less than 2% of the data was excluded from the bias audit, the summary of results must also include the auditor's justification for excluding this category, as well as the number of applicants in the excluded category and the scoring rate or selection rate. This summary of results is required to be made publicly available on the employment section of the website of the employer or employment agency in a clear and conspicuous manner. This requirement may be met with an active hyperlink to a website containing the required summary of results and distribution date, provided that the link is clearly identified as a link to results of the bias audit. An employer or employment agency must keep the summary of results and distribution date posted for at least 6 months after its latest use of the AEDT for an employment decision."
Can an employer or agency use an automated employment decision tool if it has not been subject to a bias audit?,,,"No, it is unlawful to use such a tool unless it has been the subject of a bias audit conducted within the last year if using it to evaluate individuals in new york city."
What is a bias audit?,,,"An impartial evaluation by an independent auditor, including calculations of selection or scoring rates and impact ratios across various categories."
What is an aedt under local law 144?,,,"under Local Law 144, automated employment decision tools are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons. This does not include a tool that does not automate, support, substantially assist or replace discretionary decision-making processes and that does not materially impact natural persons, including, but not limited to, a junk email filter, firewall, antivirus software, calculator, spreadsheet, database, data set, or other compilation of data."
What does it mean to substantially assist or replace discretionary decision making under local law 144?,,,"Under Local Law 144, to substantially assist or replace discretionary decision making means to rely solely on a simplified output (score, tag, classification, ranking, etc.), with no other factors considered; or to use a simplified output as one of a set of criteria where the simplified output is weighted more than any other criterion in the set; or to use a simplified output to overrule conclusions derived from other factors including human decision-making."
What rights are preserved by the construction provision (¤ 20-874) of this subchapter?,,,"The provisions do not limit the right of any candidate or employee to bring a civil action, and they do not limit the authority of the commission on human rights to enforce the provisions of title 8."
What if employers have minimal historical data or do not collect demographic data from applicants?,,,Test data can be used for the bias audit if there's insufficient historical data.
Who needs to comply with local law 144?,,,"Employers and employment agencies hiring candidates or promoting employees using an automated employment decision tool in New York City must comply with Local Law 144. To use an automated employment decision tool in the city means that the job location is in an office in New York City, at least part time, the job is fully remote but asspcoated with an office in New York City, or the employment agency or employer is located in New York City."
Who is responsible for complying with the Law's bias audit requirement?,,,Employers and employment agencies are responsible for ensuring no AEDT is used without a completed bias audit.
What was the timeline for local law 144?,,,"Local Law 144 was introduced in February 2020 and enacted in November 2021. It went into effect on 1 January 2023, but in September 2022, New York City's Department of Consumer and Worker Protection (DCWP) published rules for the enforcement of the law. A public hearing on these rules was scheduled for October 2022 but rescheduled to November 2022 due to capacity issues. Following the hearing, DCWP published a second version of the rules and announced the enforcement date was being pushed back to 15th April 2023. A second public hearing was held in January 2023 on the second rules before the final rules were adopted on 6th April 2023 and the enforcement date was pushed back a final time to 5 July 2023."
Does local law 144 target ai tools?,,,"Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons. Therefore, it does not just target artificial intelligence driven tools."
"How can you determine if a tool uses machine learning, statistical modeling, data analytics, or artificial intelligence?",,,"The tool must generate predictions or classifications, identify inputs and their importance, and improve accuracy through computer-based techniques. Examples include assessing a candidate's fit or likelihood of success."
What entities are authorized to conduct proceedings to recover civil penalties under this subchapter?,,,Proceedings to recover civil penalties are returnable to any tribunal established within the office of administrative trials and hearings or within any agency of the city designated to conduct such proceedings.
Under what circumstances can an employer or agency refuse disclosure of information about the AEDT?,,,"Information disclosure can be refused if it would violate local, state, or federal law or interfere with a law enforcement investigation, as explained to the candidate or employee."
Can an employer or agency use an automated employment decision tool without making information about data collection available upon written request?,,,"No, information about data collection must be provided within 30 days of a written request by a candidate or employee."
What does it mean to screen someone under Local Law 144?,,,To screen a candidate under local law 144 means to make a determination about whether a candidate for employment or employee being considered for promotion should be selected or advanced in the hiring or promotion process
"How is the ""Scoring Rate"" defined for an AEDT?",,,"""Scoring Rate"" is the rate at which individuals in a category receive a score above the sampleÕs median score, as calculated by an AEDT."
How long do employers and agencies have to wait after posting notice on their website before using an AEDT for applicants?,,,They can start using an AEDT 10 business days after posting notice on their website.
What is Local Law 144 of 2021?,,,The law enacted in 2021 that prohibits employers and employment agencies in New York City from using an automated employment decision tool (AEDT) without a bias audit and required notices.
What is local law 144?,,,"Local Law 144 is a law in New York City that requires independent, impartial annual bias audits of automated employment decision tools used to evaluate candidates for employees for promotion or candidates for employment that reside in New York City. It also requires a summary of the results of the bias audit to be published on the employer or employment agency's website and notification to employees or canidates for the use of an automated employment decision tool at least 10 business days before the tool is used."
What does the bias audit include when AEDT selects candidates or classifies them?,,,"It includes calculating selection rates, impact ratios, and ensuring separate calculations for sex, race/ethnicity, and intersectional categories."
Do results of a bias audit require specific actions according to the Law?,,,"No, the Law requires a bias audit but doesn't mandate specific actions based on the results. However, employers must comply with anti-discrimination laws and rules."
What options does a candidate have upon receiving a notice about the use of an AEDT?,,,What options does a candidate have upon receiving a notice about the use of an AEDT?
What is the purpose of a bias audit for an automated employment decision tool?,,,"The purpose of a bias audit is to impartially evaluate the tool, including testing for disparate impact on individuals based on specified characteristics."
What calculations are required in a bias audit for an AEDT that selects candidates or employees for promotion and results in a classification?,,,"The bias audit must calculate the selection rate for each category and the impact ratio for each category, considering sex, race/ethnicity, and intersectional categories."
What action can the corporation counsel take to enforce compliance with local law 144?,,,The corporation counsel or designated persons can initiate an action or proceeding in any court of competent jurisdiction for the correction of violations and to mandate compliance.
What tools are covered by local law 144?,,,"Local Law 144 targets automated employment decision tools. These are any computational process, derived from machine learning, statistical modeling, data analytics, or artificial intelligence, that issues simplified output, including a score, classification, or recommendation, that is used to substantially assist or replace discretionary decision making for making employment decisions that impact natural persons."
do local law 144 auditors have to be certified?,,,"Auditors do not have to be certified to conduct bias audits under Local Law 144, but they must be independent and capable of objective and impartial judgement. This is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT."
What does the bias audit summary include?,,,"It includes the date of the most recent bias audit, the source and explanation of the data used, the number of individuals in an unknown category, and the rates and impact ratios for all categories."
How often must employers perform a bias audit?,,,"Every year, and they can only rely on a bias audit for one year from the date it was conducted."
What should employers do if the bias audit indicates a disparate impact?,,,"While the law requires a bias audit, it does not mandate specific actions based on the results. Employers must, however, comply with all relevant anti-discrimination laws and rules. If a bias audit suggests a disparate impact, employers should carefully assess the situation and take appropriate steps to address any potential discriminatory practices."
What must the summary of results contain for local law 144?,,,"This summary must include the date of the most recent bias audit, the source and explanation of the data used to conduct the bias audit, the number of individuals that were in an unknown category, the number of applicants in each category, the selection and scoring rate of each category, and the impact ratios for all categories. If the bias audit used test data, the summary of results must explain why historical data was not used and and how the test data was generated and obtained. If a category that represented less than 2% of the data was excluded from the bias audit, the summary of results must also include the auditor's justification for excluding this category, as well as the number of applicants in the excluded category and the scoring rate or selection rate."
Do the LawÕs requirements apply to scanning a resume bank or conducting outreach?,,,"No, the requirements apply only to AEDT use for assessing candidates for hiring or promotion, where the tool is used to evaluate someone who has applied for a specific position."
What is an AEDT?,,,"An Automated Employment Decision Tool (AEDT) is a computer-based tool that utilizes machine learning, statistical modeling, data analytics, or artificial intelligence to assist or replace discretionary decision-making in employment decisions."
"What is the definition of an ""Impact Ratio"" in the context of an AEDT selecting candidates or employees for promotion?",,,"The ""Impact Ratio"" is either the selection rate or scoring rate for a category divided by the rate of the most selected or highest-scoring category, respectively."
What constitutes a separate violation in terms of automated employment decision tool use?,,,Each day on which the tool is used in violation of the law gives rise to a separate violation.
"What is the significance of the ""Impact Ratio"" in a bias audit?",,,"The ""Impact Ratio"" is used for assessing the disparate impact of an AEDT on different categories, such as sex, race/ethnicity, and intersectional categories."
what is an independent auditor under local law 144?,,,"An inndependent auditor is a person or group that is capable of exercising objective and impartial judgment on all issues within the scope of a bias audit of an AEDT. An auditor is not an independent auditor of an AEDT if they is or was involved in using, developing, or distributing the AEDT; at any point during the bias audit, has an employment relationship with an employer or employment agency that seeks to use or continue to use the AEDT or with a vendor that developed or distributes the AEDT; or at any point during the bias audit, has a direct financial interest or a material indirect financial interest in an employer or employment agency that seeks to use or continue to use the AEDT or in a vendor that developed or distributed the AEDT."
In what circumstances can an independent auditor exclude a category from the impact ratio calculations?,,,"An independent auditor may exclude a category that represents less than 2% of the data used for the bias audit, with the justification included in the summary of results."
What does the law require in terms of information disclosure about data collection for the automated employment decision tool?,,,"If not disclosed on the employer or agency's website, information about data collection, its source, and the data retention policy should be available upon written request by a candidate or employee."
What must an employer or employment agency do if an AEDT has not been subject to a bias audit within the past year?,,,"They are prohibited from using or continuing to use the AEDT until a bias audit is conducted, ensuring compliance with the one-year limit."
What are the key components of a bias audit according to the law?,,,"A bias audit must include calculations of selection or scoring rates, impact ratios across various categories, and be performed by an independent auditor capable of objective and impartial judgment."
How must employers and agencies provide notice of AEDT use?,,,"They must notify NYC residents 10 business days before using an AEDT, either in a job posting, by mail/email, or on the employment section of their website. For employees, notice can also be given in a written policy or procedure."
how is the impact ratio calculated for regression systems under local law 144??,,,"For regression systems, local law 144 requires the scoring rate to first be calculated by calculating the proportion of individuals in each group that score above the median score of the data being audited. The scoring rate of each group must be divided by the scoring rate of the group with the highest scoring rate."
What does the notice requirement entail for an employer or employment agency?,,,"The notice must include instructions for how an individual can request an alternative selection process or a reasonable accommodation, with no requirement for the employer or agency to provide an alternative selection process. The notice should also inform employees or candidates who resides in the city that an automated employment decision tool will be used to evaluate them, as well as the job qualifications and characteristics that such automated employment decision tool will use in the assessment of such candidate or employee.  An employer or employment agency must provide information on the employment section of its website in a clear and conspicuous manner about its AEDT data retention policy, the type of data collected for the AEDT, and the source of the data; post instructions on the employment section of its website in a clear and conspicuous manner for how to make a written request for such information, and if a written request is received, provide such information within 30 days; and provide an explanation to a candidate for employment or employee being considered for promotion why disclosure of such information would violate local, state, or federal law, or interfere with a law enforcement investigation. Candidates for employment can be given notice by providing notice in a job posting at least 10 business days before use of an AEDT via U.S. mail or e-mail at least 10 business days before use of an AEDT. Additionally for employees for promotion can be given notice in a written policy or procedure that is provided to employees at least 10 business days before use of an AEDT. Ay notices on the employment section of an employment agency's or employer's website must be clear and conspicious."
How long must employers keep the summary of bias audit results posted after AEDT use?,,,The summary and distribution date must be posted for at least 6 months after the latest use of the AEDT for an employment decision.
What is a selection rate under local law 144?,,,"Under Local law 144, a the selection rate means the rate at which individuals in a category are either selected to move forward in the hiring process or assigned a classification by an AEDT. Such rate may be calculated by dividing the number of individuals in the category moving forward or assigned a classification by the total number of individuals in the category who applied for a position or were considered for promotion."
"What is a ""statistically significant bias audit""?",,,"The Law doesn't set a specific requirement, and if an auditor deems data insufficient, test data may be used with a detailed explanation in the summary of results."
When did local law 144 start being enforced?,,,New York City Local Law 144 was enforced from 5 July 2023
What notices are required if an automated employment decision tool is used?,,,"Employers or employment agencies must notify employees or candidates residing in the city about the use of the tool, job qualifications and characteristics used in assessment, and provide information about data collected, its source, and the data retention policy upon written request."
"Who is considered a ""Candidate for Employment""?",,,"A ""Candidate for employment"" is a person who has applied for a specific employment position by submitting necessary information or items in the required format."
